Site,s_graph_value,s_table_name
BICKB,NO3-N (sol) (ug/L),sensor_repository_02692
BICKB,Null reading,sensor_repository_02741
BICKB,P (tot) {TP pTP} (ug/L),sensor_repository_02695
BICKB,pH,sensor_repository_02662
BICKB,Phaeophytin a (by vol) (mg/L),sensor_repository_02727
BICKB,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_02739
BICKB,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_02736
BICKB,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_02698
BICKB,Program Code,sensor_repository_02639
BICKB,Program Site Ref,sensor_repository_02638
BICKB,Salinity (ppt),sensor_repository_02648
BICKB,Sample Type,sensor_repository_02640
BICKB,Secchi depth (m),sensor_repository_02668
BICKB,Security Level,sensor_repository_02646
BICKB,SiO2 (sol react) (ug/L),sensor_repository_02707
BICKB,SiO2-Si (sol react) (ug/L),sensor_repository_02710
BICKB,Site Ref,sensor_repository_02637
BICKB,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_02713
BICKB,Temperature (deg C),sensor_repository_02654
BICKB,Tide status,sensor_repository_02746
BICKB,Turbidity (NTU),sensor_repository_02665
BICKB,Water level (SLE) (m),sensor_repository_02748
BICKB,Wind direction (°),sensor_repository_02751
BICKB,Wind speed (knot),sensor_repository_02754
BLACKC,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_02939
BLACKC,Bottom Depth (m),sensor_repository_02909
BLACKC,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_02942
BLACKC,Chlorophyll a (by vol) (mg/L),sensor_repository_02953
BLACKC,Chlorophyll a (in situ) (RFU),sensor_repository_02971
BLACKC,Chlorophyll a (in situ) (ug/L),sensor_repository_02968
BLACKC,Chlorophyll b (by vol) (mg/L),sensor_repository_02956
BLACKC,Chlorophyll c (by vol) (mg/L),sensor_repository_02959
BLACKC,Chlorophyll sample volume (mL),sensor_repository_02962
BLACKC,Cloud cover (%),sensor_repository_02981
BLACKC,Collection Method,sensor_repository_02879
BLACKC,Conductivity @ 25 deg C (uS/cm),sensor_repository_02889
BLACKC,Depth (m),sensor_repository_02882
BLACKC,Depth _s (m),sensor_repository_02881
BLACKC,Depth measuring point,sensor_repository_02880
BLACKC,Depth To (m),sensor_repository_02883
BLACKC,Dissolved Oxygen (% saturation),sensor_repository_02898
BLACKC,Dissolved Oxygen (mg/L),sensor_repository_02895
BLACKC,Flow status,sensor_repository_02983
BLACKC,N (sum sol org) {DON} (ug/L),sensor_repository_02921
BLACKC,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_02915
BLACKC,N (tot kjel) {TKN} (ug/L),sensor_repository_02924
BLACKC,N (tot) {TN pTN} (ug/L),sensor_repository_02912
BLACKC,NH3-N/NH4-N (sol) (ug/L),sensor_repository_02918
BLACKC,NO2-N (sol) (ug/L),sensor_repository_02927
BLACKC,NO3-N (sol) (ug/L),sensor_repository_02930
BLACKC,Null reading,sensor_repository_02979
BLACKC,P (tot) {TP pTP} (ug/L),sensor_repository_02933
BLACKC,pH,sensor_repository_02900
BLACKC,Phaeophytin a (by vol) (mg/L),sensor_repository_02965
BLACKC,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_02977
BLACKC,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_02974
BLACKC,PO4-P (sol react) {SRP FRP} (ug/L),sensor_repository_02936
BLACKC,Program Code,sensor_repository_02877
BLACKC,Program Site Ref,sensor_repository_02876
BLACKC,Salinity (ppt),sensor_repository_02886
BLACKC,Sample Type,sensor_repository_02878
BLACKC,Secchi depth (m),sensor_repository_02906
BLACKC,Security Level,sensor_repository_02884
BLACKC,SiO2 (sol react) (ug/L),sensor_repository_02945
BLACKC,SiO2-Si (sol react) (ug/L),sensor_repository_02948
BLACKC,Site Ref,sensor_repository_02875
BLACKC,Suspended Solids (Total) {TSS} (mg/L),sensor_repository_02951
BLACKC,Temperature (deg C),sensor_repository_02892
BLACKC,Tide status,sensor_repository_02984
BLACKC,Turbidity (NTU),sensor_repository_02903
BLACKC,Water level (SLE) (m),sensor_repository_02986
BLACKC,Wind direction (°),sensor_repository_02989
BLACKC,Wind speed (knot),sensor_repository_02992
BODD,Alkalinity (tot) (CaCO3) (ug/L),sensor_repository_03177
BODD,Bottom Depth (m),sensor_repository_03147
BODD,C (sol org) {DOC as NPOC} (ug/L),sensor_repository_03180
BODD,Chlorophyll a (by vol) (mg/L),sensor_repository_03191
BODD,Chlorophyll a (in situ) (RFU),sensor_repository_03209
BODD,Chlorophyll a (in situ) (ug/L),sensor_repository_03206
BODD,Chlorophyll b (by vol) (mg/L),sensor_repository_03194
BODD,Chlorophyll c (by vol) (mg/L),sensor_repository_03197
BODD,Chlorophyll sample volume (mL),sensor_repository_03200
BODD,Cloud cover (%),sensor_repository_03219
BODD,Collection Method,sensor_repository_03117
BODD,Conductivity @ 25 deg C (uS/cm),sensor_repository_03127
BODD,Depth (m),sensor_repository_03120
BODD,Depth _s (m),sensor_repository_03119
BODD,Depth measuring point,sensor_repository_03118
BODD,Depth To (m),sensor_repository_03121
BODD,Dissolved Oxygen (% saturation),sensor_repository_03136
BODD,Dissolved Oxygen (mg/L),sensor_repository_03133
BODD,Flow status,sensor_repository_03221
BODD,N (sum sol org) {DON} (ug/L),sensor_repository_03159
BODD,N (sum sol ox) {NOx-N TON} (ug/L),sensor_repository_03153
BODD,N (tot kjel) {TKN} (ug/L),sensor_repository_03162
BODD,N (tot) {TN pTN} (ug/L),sensor_repository_03150
BODD,NH3-N/NH4-N (sol) (ug/L),sensor_repository_03156
BODD,NO2-N (sol) (ug/L),sensor_repository_03165
BODD,NO3-N (sol) (ug/L),sensor_repository_03168
BODD,Null reading,sensor_repository_03217
BODD,P (tot) {TP pTP} (ug/L),sensor_repository_03171
BODD,pH,sensor_repository_03138
BODD,Phaeophytin a (by vol) (mg/L),sensor_repository_03203
BODD,Phycocyanin (insitu) {BGA-PC} (RFU),sensor_repository_03215
BODD,Phycocyanin (insitu) {BGA-PC} (ug/L),sensor_repository_03212
